initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
 -0.026  | 75.876  |  13677  |  -9983  | -0.030  | -0.949  | -0.099  |
  0.106  | 75.033  |  13582  |  -9815  | -0.032  | -0.956  | -0.018  |
  0.168  | 74.690  |  13550  |  -9740  | -0.036  | -0.963  |  0.048  |
  0.155  | 74.841  |  13565  |  -9772  | -0.036  | -0.964  |  0.061  |
  0.095  | 75.411  |  13637  |  -9878  | -0.034  | -0.958  |  0.046  |
 -0.023  | 76.325  |  13775  | -10025  | -0.034  | -0.945  |  0.022  |
 -0.128  | 76.970  |  13879  | -10122  | -0.034  | -0.935  |  0.021  |
 -0.112  | 76.970  |  13878  | -10123  | -0.034  | -0.927  |  0.038  |
 -0.085  | 76.675  |  13835  | -10074  | -0.034  | -0.929  |  0.035  |
  0.015  | 75.915  |  13722  |  -9950  | -0.034  | -0.937  |  0.044  |
  0.144  | 75.123  |  13606  |  -9819  | -0.033  | -0.947  |  0.055  |
  0.155  | 74.969  |  13586  |  -9791  | -0.035  | -0.955  |  0.049  |
  0.140  | 75.116  |  13601  |  -9822  | -0.033  | -0.956  |  0.054  |
  0.064  | 75.742  |  13691  |  -9927  | -0.033  | -0.950  |  0.040  |
 -0.054  | 76.505  |  13809  | -10047  | -0.033  | -0.942  |  0.036  |
 -0.100  | 76.794  |  13856  | -10090  | -0.033  | -0.934  |  0.044  |
 -0.092  | 76.694  |  13844  | -10071  | -0.033  | -0.933  |  0.052  |
